edge,cause,effect,path,intermediaries,path_length,FCI_fisherz_knn_indicator_v2,FCI_fisherz_simple_indicator_v2,FCI_fisherz_simple_v2,FCI_mv_fisherz_raw_v2,PC_fisherz_knn_indicator_v2,PC_fisherz_simple_indicator_v2,PC_fisherz_simple_v2,PC_mv_fisherz_raw_v2,agreement_score
FiO2_max --> spO2_min,FiO2_max,spO2_min,FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min,lactate_max_missing --> vaso_given --> lactate_max,4,0,0,0,0,1,0,0,0,1
FiO2_max --> vaso_given,FiO2_max,vaso_given,FiO2_max --> spO2_min --> vaso_given,spO2_min,2,0,0,0,0,0,0,1,1,2
FiO2_max --> vaso_given,FiO2_max,vaso_given,FiO2_max --> lactate_max_missing --> vaso_given,lactate_max_missing,2,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,FiO2_max_missing --> blood_pressure_min_missing --> FiO2_max,blood_pressure_min_missing,2,0,0,0,0,1,1,0,0,2
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,FiO2_max_missing --> mechvent_24h_onset --> FiO2_max,mechvent_24h_onset,2,1,0,0,0,1,0,0,0,2
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,FiO2_max_missing --> lactate_max_missing --> blood_pressure_min_missing --> FiO2_max,lactate_max_missing --> blood_pressure_min_missing,3,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,FiO2_max_missing --> lactate_max_missing --> vaso_given --> FiO2_max,lactate_max_missing --> vaso_given,3,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> FiO2_max,mechvent_24h_onset --> inr_max_missing,3,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing --> FiO2_max,mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing,4,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> blood_pressure_min_missing --> FiO2_max,mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> blood_pressure_min_missing,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> vaso_given --> FiO2_max,mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> vaso_given,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,FiO2_max_missing --> mechvent_24h_onset --> lactate_max_missing --> blood_pressure_min_missing --> FiO2_max,mechvent_24h_onset --> lactate_max_missing --> blood_pressure_min_missing,4,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,FiO2_max_missing --> mechvent_24h_onset --> lactate_max_missing --> vaso_given --> FiO2_max,mechvent_24h_onset --> lactate_max_missing --> vaso_given,4,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,FiO2_max_missing --> mechvent_24h_onset --> temp_max_F_missing --> FiO2_max,mechvent_24h_onset --> temp_max_F_missing,3,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,FiO2_max_missing --> mechvent_24h_onset --> temp_max_F_missing --> blood_pressure_min_missing --> FiO2_max,mechvent_24h_onset --> temp_max_F_missing --> blood_pressure_min_missing,4,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,FiO2_max_missing --> mechvent_24h_onset --> temp_max_F_missing --> vaso_given --> FiO2_max,mechvent_24h_onset --> temp_max_F_missing --> vaso_given,4,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,FiO2_max_missing --> mechvent_24h_onset --> vaso_given --> FiO2_max,mechvent_24h_onset --> vaso_given,3,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> aki_post24h_stage,FiO2_max_missing,aki_post24h_stage,FiO2_max_missing --> mechvent_24h_onset --> aki_post24h_stage,mechvent_24h_onset,2,1,0,0,0,1,0,0,0,2
FiO2_max_missing --> blood_pressure_min_missing,FiO2_max_missing,blood_pressure_min_missing,FiO2_max_missing --> mechvent_24h_onset --> temp_max_F_missing --> blood_pressure_min_missing,mechvent_24h_onset --> temp_max_F_missing,3,1,0,0,0,1,0,0,0,2
FiO2_max_missing --> blood_pressure_min_missing,FiO2_max_missing,blood_pressure_min_missing,FiO2_max_missing --> lactate_max_missing --> blood_pressure_min_missing,lactate_max_missing,2,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> blood_pressure_min_missing,FiO2_max_missing,blood_pressure_min_missing,FiO2_max_missing --> mechvent_24h_onset --> FiO2_max --> lactate_max_missing --> blood_pressure_min_missing,mechvent_24h_onset --> FiO2_max --> lactate_max_missing,4,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> blood_pressure_min_missing,FiO2_max_missing,blood_pressure_min_missing,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> FiO2_max --> lactate_max_missing --> blood_pressure_min_missing,mechvent_24h_onset --> inr_max_missing --> FiO2_max --> lactate_max_missing,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> blood_pressure_min_missing,FiO2_max_missing,blood_pressure_min_missing,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing,mechvent_24h_onset --> inr_max_missing,3,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> blood_pressure_min_missing,FiO2_max_missing,blood_pressure_min_missing,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> blood_pressure_min_missing,mechvent_24h_onset --> inr_max_missing --> lactate_max_missing,4,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> blood_pressure_min_missing,FiO2_max_missing,blood_pressure_min_missing,FiO2_max_missing --> mechvent_24h_onset --> lactate_max_missing --> blood_pressure_min_missing,mechvent_24h_onset --> lactate_max_missing,3,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> blood_pressure_min_missing,FiO2_max_missing,blood_pressure_min_missing,FiO2_max_missing --> mechvent_24h_onset --> temp_max_F_missing --> FiO2_max --> lactate_max_missing --> blood_pressure_min_missing,mechvent_24h_onset --> temp_max_F_missing --> FiO2_max --> lactate_max_missing,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> blood_pressure_min_missing,FiO2_max_missing,blood_pressure_min_missing,FiO2_max_missing --> mechvent_24h_onset --> temp_max_F_missing --> vaso_given --> FiO2_max --> lactate_max_missing --> blood_pressure_min_missing,mechvent_24h_onset --> temp_max_F_missing --> vaso_given --> FiO2_max --> lactate_max_missing,6,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> blood_pressure_min_missing,FiO2_max_missing,blood_pressure_min_missing,FiO2_max_missing --> mechvent_24h_onset --> vaso_given --> FiO2_max --> lactate_max_missing --> blood_pressure_min_missing,mechvent_24h_onset --> vaso_given --> FiO2_max --> lactate_max_missing,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> blood_pressure_min_missing --> FiO2_max --> spO2_min --> heart_rate_max,blood_pressure_min_missing --> FiO2_max --> spO2_min,4,0,0,0,0,1,1,0,0,2
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> blood_pressure_min_missing --> heart_rate_max,blood_pressure_min_missing,2,0,0,0,0,1,1,0,0,2
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> blood_pressure_min_missing --> spO2_min --> heart_rate_max,blood_pressure_min_missing --> spO2_min,3,0,0,0,0,1,1,0,0,2
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> blood_pressure_min_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> heart_rate_max,blood_pressure_min_missing --> FiO2_max --> lactate_max_missing --> vaso_given,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> blood_pressure_min_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> heart_rate_max,blood_pressure_min_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max,6,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> blood_pressure_min_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min --> heart_rate_max,blood_pressure_min_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min,7,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> lactate_max_missing --> blood_pressure_min_missing --> FiO2_max --> spO2_min --> heart_rate_max,lactate_max_missing --> blood_pressure_min_missing --> FiO2_max --> spO2_min,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> lactate_max_missing --> blood_pressure_min_missing --> heart_rate_max,lactate_max_missing --> blood_pressure_min_missing,3,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> lactate_max_missing --> blood_pressure_min_missing --> spO2_min --> heart_rate_max,lactate_max_missing --> blood_pressure_min_missing --> spO2_min,4,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> lactate_max_missing --> vaso_given --> FiO2_max --> spO2_min --> heart_rate_max,lactate_max_missing --> vaso_given --> FiO2_max --> spO2_min,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> lactate_max_missing --> vaso_given --> heart_rate_max,lactate_max_missing --> vaso_given,3,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> lactate_max_missing --> vaso_given --> lactate_max --> heart_rate_max,lactate_max_missing --> vaso_given --> lactate_max,4,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min --> heart_rate_max,lactate_max_missing --> vaso_given --> lactate_max --> spO2_min,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> FiO2_max --> lactate_max_missing --> blood_pressure_min_missing --> heart_rate_max,mechvent_24h_onset --> FiO2_max --> lactate_max_missing --> blood_pressure_min_missing,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> FiO2_max --> lactate_max_missing --> blood_pressure_min_missing --> spO2_min --> heart_rate_max,mechvent_24h_onset --> FiO2_max --> lactate_max_missing --> blood_pressure_min_missing --> spO2_min,6,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> FiO2_max --> lactate_max_missing --> vaso_given --> heart_rate_max,mechvent_24h_onset --> FiO2_max --> lactate_max_missing --> vaso_given,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> heart_rate_max,mechvent_24h_onset --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max,6,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min --> heart_rate_max,mechvent_24h_onset --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min,7,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> FiO2_max --> spO2_min --> heart_rate_max,mechvent_24h_onset --> FiO2_max --> spO2_min,4,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> FiO2_max --> lactate_max_missing --> blood_pressure_min_missing --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> FiO2_max --> lactate_max_missing --> blood_pressure_min_missing,6,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> FiO2_max --> lactate_max_missing --> blood_pressure_min_missing --> spO2_min --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> FiO2_max --> lactate_max_missing --> blood_pressure_min_missing --> spO2_min,7,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> FiO2_max --> lactate_max_missing --> vaso_given,6,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max,7,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min,8,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> FiO2_max --> spO2_min --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> FiO2_max --> spO2_min,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing --> FiO2_max --> lactate_max_missing --> vaso_given,7,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max,8,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing --> FiO2_max --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min,9,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing --> FiO2_max --> spO2_min --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing --> FiO2_max --> spO2_min,6,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing,4,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing --> spO2_min --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> blood_pressure_min_missing --> spO2_min,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> blood_pressure_min_missing --> FiO2_max --> spO2_min --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> blood_pressure_min_missing --> FiO2_max --> spO2_min,7,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> blood_pressure_min_missing --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> blood_pressure_min_missing,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> blood_pressure_min_missing --> spO2_min --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> blood_pressure_min_missing --> spO2_min,6,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> vaso_given --> FiO2_max --> spO2_min --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> vaso_given --> FiO2_max --> spO2_min,7,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> vaso_given --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> vaso_given,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> vaso_given --> lactate_max --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> vaso_given --> lactate_max,6,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min --> heart_rate_max,mechvent_24h_onset --> inr_max_missing --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min,7,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> lactate_max_missing --> blood_pressure_min_missing --> FiO2_max --> spO2_min --> heart_rate_max,mechvent_24h_onset --> lactate_max_missing --> blood_pressure_min_missing --> FiO2_max --> spO2_min,6,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> lactate_max_missing --> blood_pressure_min_missing --> heart_rate_max,mechvent_24h_onset --> lactate_max_missing --> blood_pressure_min_missing,4,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> lactate_max_missing --> blood_pressure_min_missing --> spO2_min --> heart_rate_max,mechvent_24h_onset --> lactate_max_missing --> blood_pressure_min_missing --> spO2_min,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> lactate_max_missing --> vaso_given --> FiO2_max --> spO2_min --> heart_rate_max,mechvent_24h_onset --> lactate_max_missing --> vaso_given --> FiO2_max --> spO2_min,6,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> lactate_max_missing --> vaso_given --> heart_rate_max,mechvent_24h_onset --> lactate_max_missing --> vaso_given,4,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> lactate_max_missing --> vaso_given --> lactate_max --> heart_rate_max,mechvent_24h_onset --> lactate_max_missing --> vaso_given --> lactate_max,5,0,0,0,0,1,0,0,0,1
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,FiO2_max_missing --> mechvent_24h_onset --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min --> heart_rate_max,mechvent_24h_onset --> lactate_max_missing --> vaso_given --> lactate_max --> spO2_min,6,0,0,0,0,1,0,0,0,1
