edge,cause,effect,FCI_fisherz_knn_indicator_v2,FCI_fisherz_simple_indicator_v2,FCI_fisherz_simple_v2,FCI_kci_knn_indicator,FCI_kci_simple,FCI_kci_simple_indicator,FCI_mv_fisherz_raw_v2,PC_fisherz_knn_indicator_v2,PC_fisherz_simple_indicator_v2,PC_fisherz_simple_v2,PC_kci_knn_indicator,PC_kci_simple,PC_kci_simple_indicator,PC_mv_fisherz_raw_v2,avg_num_paths,agreement_score
bilirubin_max --> hospital_expire_flag,bilirubin_max,hospital_expire_flag,1,0,0,0,0,0,0,1,1,1,1,1,1,0,3.1,7
anchor_age --> vaso_given,anchor_age,vaso_given,0,0,0,0,0,0,0,1,1,1,1,1,1,1,5.4,7
aki_24h_onset_stage_y --> mechvent_post24h,aki_24h_onset_stage_y,mechvent_post24h,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2.6,7
mechvent_24h_onset --> aki_post24h_stage,mechvent_24h_onset,aki_post24h_stage,0,0,0,0,1,0,1,0,1,1,1,1,1,0,2.4,7
race --> aki_post24h_stage,race,aki_post24h_stage,1,0,1,0,0,0,1,1,0,1,0,1,0,1,3.6,7
lactate_max --> hospital_expire_flag,lactate_max,hospital_expire_flag,0,1,0,0,1,0,1,1,1,0,0,1,0,1,14.3,7
aki_24h_onset_stage_y --> aki_post24h_stage,aki_24h_onset_stage_y,aki_post24h_stage,0,0,0,0,0,0,1,1,1,1,1,1,1,0,3.0,7
mechvent_24h_onset --> vaso_given,mechvent_24h_onset,vaso_given,0,0,0,0,1,0,0,1,1,1,0,0,1,1,2.8,6
aki_24h_onset_stage_y --> spO2_min,aki_24h_onset_stage_y,spO2_min,0,0,0,0,0,0,0,1,1,1,1,0,1,1,6.0,6
anchor_age --> blood_pressure_min_missing,anchor_age,blood_pressure_min_missing,0,0,0,1,0,1,0,1,1,0,1,0,1,0,2.7,6
gender --> vaso_given,gender,vaso_given,0,0,0,0,0,0,0,1,1,1,1,0,1,1,4.8,6
bilirubin_max_missing --> hospital_expire_flag,bilirubin_max_missing,hospital_expire_flag,1,1,0,0,0,0,0,1,1,0,1,0,1,0,26.0,6
aki_24h_onset_stage_y --> FiO2_max,aki_24h_onset_stage_y,FiO2_max,0,0,0,0,0,0,0,1,1,1,1,0,1,1,2.8,6
gender --> mechvent_post24h,gender,mechvent_post24h,0,0,1,0,0,0,0,1,1,1,1,0,1,0,2.8,6
anchor_age --> FiO2_max,anchor_age,FiO2_max,0,0,0,0,0,0,0,1,1,1,1,0,1,1,5.8,6
FiO2_max_missing --> hospital_expire_flag,FiO2_max_missing,hospital_expire_flag,1,1,0,0,0,1,0,1,1,0,0,0,1,0,28.5,6
gender --> blood_pressure_min_missing,gender,blood_pressure_min_missing,0,0,0,1,0,1,0,1,1,0,1,0,1,0,1.7,6
blood_pressure_min_missing --> hospital_expire_flag,blood_pressure_min_missing,hospital_expire_flag,1,1,0,0,0,0,0,1,1,0,1,0,1,0,5.7,6
inr_max --> vaso_given,inr_max,vaso_given,0,0,0,0,0,0,0,1,1,1,1,0,1,1,1.3,6
mechvent_24h_onset --> FiO2_max,mechvent_24h_onset,FiO2_max,0,1,0,0,0,0,0,1,1,0,1,0,1,1,4.3,6
aki_24h_onset_stage_y --> vaso_given,aki_24h_onset_stage_y,vaso_given,0,0,0,0,0,0,0,1,1,1,1,0,1,1,3.7,6
anchor_age --> heart_rate_max,anchor_age,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,1,1,0,20.2,5
anchor_age --> lactate_max_missing,anchor_age,lactate_max_missing,1,0,0,0,0,0,0,1,1,0,1,0,1,0,5.0,5
mechvent_24h_onset --> heart_rate_max,mechvent_24h_onset,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,1,1,0,16.6,5
mechvent_24h_onset --> blood_pressure_min_missing,mechvent_24h_onset,blood_pressure_min_missing,1,1,0,0,0,0,0,1,1,0,0,0,1,0,3.2,5
antibiotics_given --> vaso_given,antibiotics_given,vaso_given,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2.4,5
blood_pressure_min --> spO2_min,blood_pressure_min,spO2_min,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1.6,5
inr_max --> FiO2_max,inr_max,FiO2_max,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1.2,5
platelet_max --> vaso_given,platelet_max,vaso_given,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1.4,5
vaso_given --> hospital_expire_flag,vaso_given,hospital_expire_flag,0,0,0,0,0,0,0,1,1,0,0,1,1,1,6.2,5
FiO2_max --> heart_rate_max,FiO2_max,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,1,1,0,2.4,5
blood_pressure_min --> FiO2_max,blood_pressure_min,FiO2_max,0,0,0,0,0,0,0,1,1,0,1,0,1,1,1.6,5
temp_max_F --> hospital_expire_flag,temp_max_F,hospital_expire_flag,0,0,0,0,1,1,0,0,0,0,1,1,1,0,4.4,5
gender --> aki_post24h_stage,gender,aki_post24h_stage,0,0,1,0,0,0,0,0,1,1,1,0,1,0,4.0,5
gender --> heart_rate_max,gender,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,0,1,1,11.8,5
race --> FiO2_max,race,FiO2_max,1,0,0,0,0,0,0,1,1,1,0,0,0,1,5.0,5
FiO2_max_missing --> mechvent_post24h,FiO2_max_missing,mechvent_post24h,1,0,0,0,0,1,0,1,1,0,0,0,1,0,4.0,5
aki_24h_onset_stage_y --> heart_rate_max,aki_24h_onset_stage_y,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,1,1,0,11.0,5
mechvent_post24h --> hospital_expire_flag,mechvent_post24h,hospital_expire_flag,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1.0,5
mechvent_24h_onset --> spO2_min,mechvent_24h_onset,spO2_min,0,0,0,0,0,0,0,1,1,1,0,0,1,1,9.6,5
platelet_max --> aki_post24h_stage,platelet_max,aki_post24h_stage,0,0,0,0,0,0,0,0,1,1,1,1,1,0,1.4,5
bilirubin_max_missing --> aki_post24h_stage,bilirubin_max_missing,aki_post24h_stage,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1.2,4
bilirubin_max --> aki_post24h_stage,bilirubin_max,aki_post24h_stage,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1.2,4
inr_max --> mechvent_post24h,inr_max,mechvent_post24h,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2.0,4
inr_max --> heart_rate_max,inr_max,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,0,1,0,5.0,4
gender --> bilirubin_max,gender,bilirubin_max,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1.5,4
bilirubin_max --> heart_rate_max,bilirubin_max,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,1,0,0,2.2,4
lactate_max --> vaso_given,lactate_max,vaso_given,0,1,0,0,0,0,0,0,1,0,1,0,0,1,2.5,4
antibiotics_given --> spO2_min,antibiotics_given,spO2_min,0,0,0,0,0,0,0,1,1,1,0,0,0,1,7.5,4
heart_rate_max --> hospital_expire_flag,heart_rate_max,hospital_expire_flag,0,0,1,0,0,0,0,0,0,1,0,0,1,1,8.5,4
blood_pressure_min_missing --> heart_rate_max,blood_pressure_min_missing,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,0,1,0,3.0,4
blood_pressure_min --> heart_rate_max,blood_pressure_min,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,0,1,0,4.5,4
lactate_max --> heart_rate_max,lactate_max,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,1,0,0,10.2,4
vaso_given --> spO2_min,vaso_given,spO2_min,0,0,0,0,0,0,0,1,1,0,0,0,1,1,2.0,4
platelet_max --> heart_rate_max,platelet_max,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,1,0,0,4.5,4
anchor_age --> blood_pressure_min,anchor_age,blood_pressure_min,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2.0,4
temp_max_F_missing --> mechvent_post24h,temp_max_F_missing,mechvent_post24h,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1.5,4
temp_max_F_missing --> hospital_expire_flag,temp_max_F_missing,hospital_expire_flag,1,1,0,0,0,0,0,1,1,0,0,0,0,0,13.8,4
FiO2_max_missing --> FiO2_max,FiO2_max_missing,FiO2_max,1,0,0,0,0,0,0,1,1,0,0,0,1,0,5.0,4
race --> vaso_given,race,vaso_given,1,0,0,0,0,0,0,1,0,1,0,0,0,1,9.5,4
race --> spO2_min,race,spO2_min,0,0,0,0,0,0,0,1,1,1,0,0,0,1,14.2,4
race --> heart_rate_max,race,heart_rate_max,0,0,0,0,0,0,0,1,1,0,0,1,0,1,21.0,4
platelet_max --> spO2_min,platelet_max,spO2_min,0,0,0,0,0,0,0,1,1,1,0,0,0,1,2.8,4
platelet_max --> FiO2_max,platelet_max,FiO2_max,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1.5,4
mechvent_24h_onset --> lactate_max,mechvent_24h_onset,lactate_max,1,0,0,0,1,0,0,1,0,0,0,0,1,0,4.5,4
anchor_age --> bilirubin_max_missing,anchor_age,bilirubin_max_missing,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1.0,4
anchor_age --> lactate_max,anchor_age,lactate_max,1,0,0,0,0,0,0,1,0,0,0,1,1,0,6.2,4
anchor_age --> inr_max,anchor_age,inr_max,0,0,0,0,0,0,0,1,1,1,0,1,0,0,1.5,4
antibiotics_given --> FiO2_max,antibiotics_given,FiO2_max,0,0,0,0,0,0,0,1,1,0,1,0,0,1,3.2,4
anchor_age --> inr_max_missing,anchor_age,inr_max_missing,0,0,0,0,0,0,0,1,1,0,1,0,1,0,4.5,4
blood_pressure_min --> vaso_given,blood_pressure_min,vaso_given,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2.0,3
vaso_given --> lactate_max_missing,vaso_given,lactate_max_missing,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1.7,3
vaso_given --> heart_rate_max,vaso_given,heart_rate_max,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3.0,3
lactate_max_missing --> hospital_expire_flag,lactate_max_missing,hospital_expire_flag,0,1,0,0,0,0,0,1,1,0,0,0,0,0,12.7,3
lactate_max --> aki_post24h_stage,lactate_max,aki_post24h_stage,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2.3,3
blood_pressure_min_missing --> lactate_max_missing,blood_pressure_min_missing,lactate_max_missing,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2.7,3
blood_pressure_min_missing --> spO2_min,blood_pressure_min_missing,spO2_min,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1.3,3
temp_max_F_missing --> heart_rate_max,temp_max_F_missing,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,0,0,0,9.0,3
blood_pressure_min_missing --> vaso_given,blood_pressure_min_missing,vaso_given,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2.0,3
temp_max_F_missing --> FiO2_max,temp_max_F_missing,FiO2_max,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.7,3
lactate_max --> FiO2_max,lactate_max,FiO2_max,0,0,0,0,0,0,0,0,1,0,1,0,0,1,6.0,3
temp_max_F --> aki_post24h_stage,temp_max_F,aki_post24h_stage,0,0,0,0,0,0,0,0,0,0,1,1,1,0,3.0,3
spO2_min --> aki_post24h_stage,spO2_min,aki_post24h_stage,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2.0,3
mechvent_24h_onset --> antibiotics_given,mechvent_24h_onset,antibiotics_given,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1.3,3
inr_max --> lactate_max_missing,inr_max,lactate_max_missing,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2.3,3
mechvent_24h_onset --> blood_pressure_min,mechvent_24h_onset,blood_pressure_min,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1.3,3
gender --> lactate_max_missing,gender,lactate_max_missing,0,0,0,0,0,0,0,1,0,0,1,0,1,0,4.3,3
race --> blood_pressure_min_missing,race,blood_pressure_min_missing,1,0,0,0,0,0,0,1,1,0,0,0,0,0,4.7,3
inr_max --> spO2_min,inr_max,spO2_min,0,0,0,0,0,0,0,1,1,0,0,0,1,0,3.3,3
platelet_max --> mechvent_post24h,platelet_max,mechvent_post24h,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1.0,3
lactate_max_missing --> heart_rate_max,lactate_max_missing,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,0,0,0,6.0,3
heart_rate_max --> FiO2_max,heart_rate_max,FiO2_max,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.7,3
blood_pressure_min --> mechvent_post24h,blood_pressure_min,mechvent_post24h,0,0,0,0,0,0,0,1,0,0,1,0,1,0,2.3,3
FiO2_max --> antibiotics_given,FiO2_max,antibiotics_given,0,0,0,0,1,0,0,0,0,0,0,1,1,0,2.0,3
heart_rate_max --> spO2_min,heart_rate_max,spO2_min,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1.7,3
mechvent_24h_onset --> lactate_max_missing,mechvent_24h_onset,lactate_max_missing,0,0,0,0,0,0,0,1,0,0,1,0,1,0,5.0,3
inr_max --> aki_post24h_stage,inr_max,aki_post24h_stage,0,0,0,0,0,0,0,0,0,1,1,0,1,0,3.7,3
lactate_max_missing --> FiO2_max,lactate_max_missing,FiO2_max,0,0,0,0,0,0,0,1,1,0,1,0,0,0,2.0,3
FiO2_max --> aki_post24h_stage,FiO2_max,aki_post24h_stage,0,0,0,0,1,0,0,0,0,0,0,1,1,0,3.3,3
antibiotics_given --> aki_post24h_stage,antibiotics_given,aki_post24h_stage,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1.7,3
bilirubin_max_missing --> vaso_given,bilirubin_max_missing,vaso_given,0,0,0,0,0,0,0,1,1,0,1,0,0,0,3.3,3
FiO2_max_missing --> inr_max_missing,FiO2_max_missing,inr_max_missing,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2.0,3
FiO2_max --> mechvent_post24h,FiO2_max,mechvent_post24h,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1.7,3
aki_24h_onset_stage_y --> lactate_max_missing,aki_24h_onset_stage_y,lactate_max_missing,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3.7,3
bilirubin_max_missing --> FiO2_max,bilirubin_max_missing,FiO2_max,0,0,0,0,0,0,0,1,1,0,1,0,0,0,5.3,3
bilirubin_max_missing --> heart_rate_max,bilirubin_max_missing,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,0,0,0,23.0,3
blood_pressure_min --> lactate_max_missing,blood_pressure_min,lactate_max_missing,0,0,0,0,0,0,0,1,0,0,1,0,1,0,3.0,3
FiO2_max_missing --> heart_rate_max,FiO2_max_missing,heart_rate_max,0,0,0,0,0,0,0,1,1,0,0,0,1,0,25.3,3
aki_24h_onset_stage_y --> blood_pressure_min_missing,aki_24h_onset_stage_y,blood_pressure_min_missing,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1.3,3
aki_24h_onset_stage_y --> blood_pressure_min,aki_24h_onset_stage_y,blood_pressure_min,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1.3,3
bilirubin_max --> vaso_given,bilirubin_max,vaso_given,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1.0,3
anchor_age --> temp_max_F_missing,anchor_age,temp_max_F_missing,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1.0,3
FiO2_max_missing --> blood_pressure_min_missing,FiO2_max_missing,blood_pressure_min_missing,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4.3,3
aki_24h_onset_stage_y --> bilirubin_max,aki_24h_onset_stage_y,bilirubin_max,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1.3,3
anchor_age --> FiO2_max_missing,anchor_age,FiO2_max_missing,0,0,0,0,0,0,0,0,1,0,1,0,1,0,4.3,3
aki_post24h_stage --> hospital_expire_flag,aki_post24h_stage,hospital_expire_flag,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1.0,3
FiO2_max_missing --> spO2_min,FiO2_max_missing,spO2_min,0,0,0,0,0,0,0,1,1,0,0,0,1,0,13.7,3
FiO2_max_missing --> vaso_given,FiO2_max_missing,vaso_given,1,0,0,0,0,0,0,1,0,0,0,0,1,0,4.7,3
antibiotics_given --> heart_rate_max,antibiotics_given,heart_rate_max,0,0,0,0,0,0,0,1,1,0,1,0,0,0,15.3,3
FiO2_max_missing --> lactate_max,FiO2_max_missing,lactate_max,1,0,0,0,0,0,0,1,0,0,0,0,1,0,6.3,3
FiO2_max_missing --> aki_post24h_stage,FiO2_max_missing,aki_post24h_stage,1,0,0,0,0,0,0,1,0,0,0,0,1,0,2.3,3
lactate_max_missing --> spO2_min,lactate_max_missing,spO2_min,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.5,2
inr_max_missing --> mechvent_post24h,inr_max_missing,mechvent_post24h,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,2
inr_max_missing --> spO2_min,inr_max_missing,spO2_min,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6.5,2
mechvent_24h_onset --> inr_max_missing,mechvent_24h_onset,inr_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.5,2
anchor_age --> antibiotics_given,anchor_age,antibiotics_given,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4.0,2
race --> bilirubin_max,race,bilirubin_max,0,0,0,0,0,0,0,0,0,1,0,0,0,1,4.5,2
anchor_age --> bilirubin_max,anchor_age,bilirubin_max,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2.0,2
lactate_max --> FiO2_max_missing,lactate_max,FiO2_max_missing,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.0,2
race --> temp_max_F_missing,race,temp_max_F_missing,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2
lactate_max --> blood_pressure_min,lactate_max,blood_pressure_min,0,0,0,0,0,0,0,0,1,0,0,1,0,0,2.0,2
lactate_max --> inr_max_missing,lactate_max,inr_max_missing,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2.5,2
lactate_max --> lactate_max_missing,lactate_max,lactate_max_missing,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.5,2
lactate_max --> spO2_min,lactate_max,spO2_min,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13.5,2
mechvent_24h_onset --> FiO2_max_missing,mechvent_24h_onset,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.5,2
antibiotics_given --> blood_pressure_min_missing,antibiotics_given,blood_pressure_min_missing,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,2
lactate_max_missing --> mechvent_post24h,lactate_max_missing,mechvent_post24h,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.5,2
spO2_min --> FiO2_max,spO2_min,FiO2_max,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.5,2
heart_rate_max --> mechvent_post24h,heart_rate_max,mechvent_post24h,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3.0,2
aki_24h_onset_stage_y --> inr_max_missing,aki_24h_onset_stage_y,inr_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.0,2
race --> mechvent_24h_onset,race,mechvent_24h_onset,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2
aki_24h_onset_stage_y --> lactate_max,aki_24h_onset_stage_y,lactate_max,0,0,0,0,0,0,0,1,0,0,0,0,1,0,5.5,2
platelet_max_missing --> vaso_given,platelet_max_missing,vaso_given,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6.5,2
platelet_max_missing --> spO2_min,platelet_max_missing,spO2_min,0,0,0,0,0,0,0,1,1,0,0,0,0,0,29.0,2
platelet_max_missing --> mechvent_post24h,platelet_max_missing,mechvent_post24h,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11.0,2
platelet_max_missing --> lactate_max_missing,platelet_max_missing,lactate_max_missing,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5.0,2
platelet_max_missing --> inr_max_missing,platelet_max_missing,inr_max_missing,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.0,2
platelet_max_missing --> inr_max,platelet_max_missing,inr_max,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.5,2
platelet_max_missing --> hospital_expire_flag,platelet_max_missing,hospital_expire_flag,0,0,0,0,0,0,0,1,1,0,0,0,0,0,107.0,2
platelet_max_missing --> heart_rate_max,platelet_max_missing,heart_rate_max,0,0,0,0,0,0,0,1,1,0,0,0,0,0,50.0,2
platelet_max_missing --> blood_pressure_min_missing,platelet_max_missing,blood_pressure_min_missing,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7.0,2
platelet_max_missing --> blood_pressure_min,platelet_max_missing,blood_pressure_min,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1.5,2
FiO2_max_missing --> lactate_max_missing,FiO2_max_missing,lactate_max_missing,0,0,0,0,0,0,0,1,0,0,0,0,1,0,8.0,2
platelet_max_missing --> aki_post24h_stage,platelet_max_missing,aki_post24h_stage,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.5,2
platelet_max_missing --> FiO2_max,platelet_max_missing,FiO2_max,0,0,0,0,0,0,0,1,1,0,0,0,0,0,12.5,2
aki_24h_onset_stage_y --> FiO2_max_missing,aki_24h_onset_stage_y,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.5,2
race --> inr_max,race,inr_max,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1.5,2
platelet_max --> lactate_max_missing,platelet_max,lactate_max_missing,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1.0,2
platelet_max --> lactate_max,platelet_max,lactate_max,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1.5,2
platelet_max --> inr_max_missing,platelet_max,inr_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.0,2
platelet_max --> inr_max,platelet_max,inr_max,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.0,2
race --> inr_max_missing,race,inr_max_missing,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2
platelet_max --> blood_pressure_min,platelet_max,blood_pressure_min,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1.5,2
platelet_max --> bilirubin_max_missing,platelet_max,bilirubin_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,2
platelet_max --> antibiotics_given,platelet_max,antibiotics_given,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.5,2
race --> lactate_max,race,lactate_max,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7.0,2
inr_max_missing --> heart_rate_max,inr_max_missing,heart_rate_max,0,0,0,0,0,0,0,1,1,0,0,0,0,0,11.5,2
inr_max_missing --> hospital_expire_flag,inr_max_missing,hospital_expire_flag,0,0,0,0,0,0,0,1,1,0,0,0,0,0,23.0,2
antibiotics_given --> lactate_max_missing,antibiotics_given,lactate_max_missing,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2.0,2
FiO2_max_missing --> temp_max_F_missing,FiO2_max_missing,temp_max_F_missing,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1.0,2
vaso_given --> aki_post24h_stage,vaso_given,aki_post24h_stage,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3.5,2
bilirubin_max_missing --> spO2_min,bilirubin_max_missing,spO2_min,0,0,0,0,0,0,0,1,1,0,0,0,0,0,20.5,2
gender --> FiO2_max_missing,gender,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.5,2
inr_max --> bilirubin_max_missing,inr_max,bilirubin_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.0,2
bilirubin_max_missing --> mechvent_post24h,bilirubin_max_missing,mechvent_post24h,0,0,0,0,0,0,0,1,1,0,0,0,0,0,7.5,2
FiO2_max --> lactate_max,FiO2_max,lactate_max,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.5,2
inr_max --> FiO2_max_missing,inr_max,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2.0,2
bilirubin_max --> mechvent_post24h,bilirubin_max,mechvent_post24h,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1.0,2
heart_rate_max --> vaso_given,heart_rate_max,vaso_given,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2.5,2
bilirubin_max --> spO2_min,bilirubin_max,spO2_min,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.0,2
vaso_given --> blood_pressure_min_missing,vaso_given,blood_pressure_min_missing,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1.0,2
vaso_given --> FiO2_max_missing,vaso_given,FiO2_max_missing,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1.5,2
